,,,
Farm Shi,Product,Cod,Total Units
27-abr,Rose Cherry O Hot Pink 50cm,FDB,200
27-abr,Rose Cherry O Hot Pink 50cm,FDB,100
27-abr,Rose Cherry O Hot Pink 50cm,FDB,100
27-abr,Rose Cherry O Hot Pink 50cm,FDB,100
26-abr,Rose Cherry O Hot Pink 50cm,LOC,500
27-abr,Rose Cherry O Hot Pink 50cm,LOC,200
27-abr,Rose Cherry O Hot Pink 60cm,LOC,200
25-abr,Rose Cherry O Hot Pink 60cm,LOC,100
25-abr,Rose Cherry O Hot Pink 60cm,LOC,200
25-abr,Rose Cherry O Hot Pink 60cm,LOC,100
25-abr,Rose Cherry O Hot Pink 60cm,LOC,200
27-abr,Rose Cherry O Hot Pink 60cm,LOC,1000
26-abr,Rose Christa Light Pink 50cm,LOC,100
25-abr,Rose Cinnamon Peach,LOC,100
27-abr,Rose Cinnamon Peach,LOC,300
25-abr,Rose Cinnamon Peach 60cm,LOC,200
27-abr,Rose Cinnamon Peach 60cm,LOC,500
22-abr,Rose Circus Red/Yellow 50cm,LOC,100
27-abr,Rose Cleo Light Pink 50cm,FDB,100
23-abr,Rose Cleo Light Pink 50cm,FDB,100
27-abr,Rose Cleo Light Pink 50cm,FDB,100
20-abr,Rose Coffee Break Brown 40cm,FDB,100
27-abr,Rose Coffee Break Brown 40cm,FDB,100
20-abr,Rose Coffee Break Brown 50cm,LOC,100
22-abr,Rose Coffee Break Brown 50cm,LOC,100
25-abr,Rose Coffee Break Brown 60cm,LOC,100
20-abr,Rose Coffee Break Brown 60cm,LOC,100
26-abr,Rose Cold Brew Caramel/Pink,FDB,100
27-abr,Rose Cold Brew Caramel/Pink,FDB,100
26-abr,Rose Cold Brew Caramel/Pink,LOC,100
25-abr,Rose Cold Brew Caramel/Pink,LOC,50
26-abr,Rose Cold Brew Caramel/Pink 50cm,LOC,100
22-abr,Rose Cold Brew Caramel/Pink 50cm,LOC,100
22-abr,Rose Cold Brew Caramel/Pink 60cm,LOC,100
19-abr,Rose Combo Copper,LOC,100
25-abr,Rose Combo Copper,LOC,100
22-abr,Rose Combo Copper 50cm,LOC,100
27-abr,Rose Combo Copper 60cm,LOC,100
26-abr,Rose Cool Water Lavender,LOC,100
25-abr,Rose Cool Water Lavender,LOC,100
26-abr,Rose Cool Water Lavender 50cm,LOC,200
26-abr,Rose Cool Water Lavender 50cm,LOC,200
22-abr,Rose Cool Water Lavender 50cm,LOC,100
25-abr,Rose Cool Water Lavender 50cm,LOC,500
27-abr,Rose Cool Water Lavender 60cm,FDB,100
27-abr,Rose Cool Water Lavender 60cm,FDB,100
27-abr,Rose Cool Water Lavender 60cm,LOC,200
25-abr,Rose Cool Water Lavender 60cm,LOC,200
25-abr,Rose Cool Water Lavender 60cm,LOC,200
25-abr,Rose Cool Water Lavender 60cm,LOC,400
25-abr,Rose Cool Water Lavender 60cm,LOC,100
25-abr,Rose Cool Water Lavender 60cm,LOC,200
26-abr,Rose Cool Water Lavender 60cm,LOC,1000
27-abr,Rose Cool Water Lavender 60cm,LOC,500
25-abr,Rose Cooldown Lavender,LOC,100
27-abr,Rose Cooldown Lavender,LOC,200
27-abr,Rose Cooldown Lavender 40cm,FDB,200
27-abr,Rose Cooldown Lavender 40cm,FDB,100
27-abr,Rose Cooldown Lavender 40cm,FDB,100
27-abr,Rose Cooldown Lavender 50cm,FDB,100
27-abr,Rose Cooldown Lavender 50cm,FDB,100
26-abr,Rose Cooldown Lavender 50cm,LOC,100
25-abr,Rose Cooldown Lavender 50cm,LOC,100
27-abr,Rose Cooldown Lavender 60cm,FDB,200
25-abr,Rose Cooldown Lavender 60cm,LOC,100
25-abr,Rose Cooldown Lavender 60cm,LOC,200
25-abr,Rose Coral Reef Coral,LOC,100
27-abr,Rose Coral Reef Coral,LOC,200
27-abr,Rose Coral Reef Coral 40cm,FDB,100
27-abr,Rose Coral Reef Coral 40cm,FDB,300
2-may,Rose Coral Reef Coral 40cm,FDB,100
30-abr,Rose Coral Reef Coral 40cm,FDB,100
25-abr,Rose Coral Reef Coral 40cm,FDB,100
20-abr,Rose Coral Reef Coral 40cm,FDB,300
27-abr,Rose Coral Reef Coral 40cm,FDB,200
25-abr,Rose Coral Reef Coral 50cm,FDB,200
27-abr,Rose Coral Reef Coral 50cm,FDB,100
25-abr,Rose Coral Reef Coral 50cm,LOC,100
25-abr,Rose Coral Reef Coral 60cm,LOC,100
27-abr,Rose Coral Reef Coral 60cm,LOC,100
25-abr,Rose Coral Reef Coral 60cm,LOC,100
25-abr,Rose Coral Reef Coral 60cm,LOC,100
25-abr,Rose Coral X-pression Coral 60cm,LOC,100
27-abr,Rose Cotton Candy Pink 40cm,FDB,100
20-abr,Rose Country Blues Lavender,FDB,100
19-abr,Rose Country Blues Lavender,FDB,100
25-abr,Rose Country Blues Lavender,LOC,200
25-abr,Rose Country Blues Lavender,LOC,200
27-abr,Rose Country Blues Lavender,LOC,100
27-abr,Rose Country Blues Lavender 50 cm,FDB,200
25-abr,Rose Country Blues Lavender 50 cm,LOC,100
26-abr,Rose Country Blues Lavender 50 cm,LOC,100
22-abr,Rose Country Blues Lavender 50 cm,LOC,200
27-abr,Rose Country Blues Lavender 60 cm,FDB,100
25-abr,Rose Country Blues Lavender 60 cm,LOC,200
22-abr,Rose Country Blues Lavender 60 cm,LOC,100
25-abr,Rose Country Blues Lavender 60 cm,LOC,100
27-abr,Rose Country Blues Lavender 60 cm,LOC,300
27-abr,Rose Country Candy Light Pink,LOC,100
27-abr,Rose Country Candy Light Pink 40cm,FDB,100
25-abr,Rose Country Candy Light Pink 40cm,FDB,200
27-abr,Rose Country Candy Light Pink 50cm,FDB,100
27-abr,Rose Country Candy Light Pink 50cm,FDB,100
22-abr,Rose Country Candy Light Pink 50cm,LOC,100
27-abr,Rose Country Candy Light Pink 60cm,LOC,1000
26-abr,Rose Country Home Peach,LOC,100
25-abr,Rose Country Home Peach,LOC,100
22-abr,Rose Country Home Peach 50cm,LOC,100
25-abr,Rose Country Home Peach 50cm,LOC,100
27-abr,Rose Country Home Peach 60cm,FDB,200
25-abr,Rose Country Home Peach 60cm,LOC,100
25-abr,Rose Country Home Peach 60cm,LOC,100
22-abr,Rose Country Home Peach 60cm,LOC,100
25-abr,Rose Country Home Peach 60cm,LOC,100
27-abr,Rose Country Home Peach 60cm,LOC,500
25-abr,Rose Country Sun Yellow,LOC,100
27-abr,Rose Country Sun Yellow 60cm,LOC,400
27-abr,Rose Cream 40cm,FDB,100
27-abr,Rose Cream 50cm,FDB,300
20-abr,Rose Cream 50cm,FDB,300
27-abr,Rose Cream 50cm,FDB,200
25-abr,Rose Creme De La Creme Light Yellow,LOC,100
27-abr,Rose Creme De La Creme Light Yellow,LOC,100
27-abr,Rose Creme De La Creme Light Yellow,LOC,300
27-abr,Rose Creme De La Creme Light Yellow,LOC,100
20-abr,Rose Creme De La Creme Light Yellow 40cm,FDB,100
26-abr,Rose Creme De La Creme Light Yellow 50cm,FDB,100
20-abr,Rose Creme De La Creme Light Yellow 50cm,LOC,100
22-abr,Rose Creme De La Creme Light Yellow 50cm,LOC,200
22-abr,Rose Creme De La Creme Light Yellow 50cm,LOC,200
25-abr,Rose Creme De La Creme Light Yellow 50cm,LOC,200
27-abr,Rose Creme De La Creme Light Yellow 60cm,LOC,100
20-abr,Rose Creme De La Creme Light Yellow 60cm,LOC,100
25-abr,Rose Creme De La Creme Light Yellow 60cm,LOC,100
25-abr,Rose Creme De La Creme Light Yellow FLTI,LOC,200
20-abr,Rose Cute Enigma Beige/Blush/Sand 40cm,FDB,100
27-abr,Rose Cute Enigma Beige/Blush/Sand 40cm,FDB,100
23-abr,Rose Cute Enigma Beige/Blush/Sand 50cm,FDB,100
